ID,fluxes
PYK2,0.8601189187509083
T_sym_Riboflavin,0.024951087291084605
EX_amp_e,-0.17270999064495934
T_abc_L_Aspartate,0.0
DUTUP,0.0
EX_mal__L_e,-0.0
NTD8pp,0.0
NTD10pp,0.0
T_abc_Deoxyuridine,0.0
IMPC,0.0
PDX5POi,0.0
EX_oxa_e,0.0
G3PD1ir,0.0
T_diff_propanoate,0.0
HODR8,0.0
APNPT,0.0
ACOXT,0.0
ALAR,0.5057860410168785
e_Fatty_acid,0.16114519690414264
EX_tsul_e,-0.0
EX_urea_e,0.04623960991172897
PKETX,0.6564847763664974
T_ant_Succinate_Citrate,0.0
FMETDF,0.0
EX_lcts_e,-0.0
AP4AH1,0.0
EX_lys__L_e,-0.2738725974465995
R01877_C4,0.0
G1Dx,0.0
T_diff_H2O,9.962524159398487
HPROa,0.0
T_sym_L_Lysine,0.2738725974465995
T_sym_Glycine,0.0
PHETA1,0.0
e_DNA,0.015254461904943893
ASPCT,0.0
PGM,-29.461394249337108
RNTR2,0.0
UTCY,0.0
EX_stys_e,0.0
T_PEP_Mannose,0.0
EX_dad_2_e,-0.0
ASPR,0.11730421919192789
T_abc_Guanosine,0.0
DADNK,0.0
ITCY,0.0
METAT,0.027633873173852505
GARFT,0.0
EX_cit_e,-0.0
BPNT,0.0
EX_asn__L_e,0.0
ASP4DC,0.6524561692514882
RNTR3,0.008423346064829064
ABFPT,0.0
CFAS180,0.017403681265647404
HPROb,0.0
ACKr,-0.30943830964409
RBK,0.08339161723332938
EX_glyclt_e,0.0
ASPTA,0.0
LEUTA,0.0
HCYSMT,0.0
PGMT_B,0.0
TO1100107,0.0
AICART,0.0
NTD1pp,0.0
NTD4pp,0.0
PYK3,0.1159597895726401
URIK2,0.04997185360495811
ACYP,0.0
IMPD,0.27145740583099626
R08163,0.0
RHCCE,0.0
EX_hdca_e,-0.06252433639880735
METSOXR2,0.0
ASNS1,0.0
T_abc_Adenosine,0.0
T_diff_Tetradecanoic_acid,0.004028629922603566
T_diff_2_Hydroxybutanoic_acid,0.017403681265647404
T_abc_L_Glutamate,0.0
T_PEP_Salicin,0.0
T_sym_L_Tryptophan,0.02217595738095313
URIDK2r,0.0
EX_for_e,0.0
T_abc_beta_D_Fructose,0.0
URIK3,0.0
HDER4,0.0
DPMVDx,0.04835417136193873
FRDO5r,0.0
