ID,fluxes
PYK2,0.15650415276124066
T_sym_Riboflavin,0.004147372446554704
T_abc_Biotin,0.00277322518768139
T_abc_L_Aspartate,0.0
NTD8pp,0.0
IMPC,0.0
NTD10pp,0.0
PDX5POi,0.0
kaasIII,0.026972589935670126
r0086,0.0
THRTRS_1,0.019669433373662826
PUNP7,0.0
HODR8,0.01565976192461329
EX_ocdcea_e,0.0
APNPT,0.0
EX_tsul_e,-0.0
ALAR,0.08404188968724688
e_Fatty_acid,0.026999589525195322
EX_thr__L_e,-0.039761277588209895
T_ant_Succinate_Citrate,0.0
PKETX,0.19726665762995993
FMETDF,0.0
EX_lcts_e,-4.6899999999999995
AP4AH1,0.0
EX_gcald_e,-0.0
T_diff_O2,0.0
T_diff_H2O,2.7002367924856934
EX_h_e,17.545504313653044
T_sym_L_Lysine,0.04643189993920266
EX_ade_e,-0.030538603410088794
T_sym_Glycine,0.0
EX_orn__L_e,-0.0
PHETA1,0.0
UGT1_Lh,0.0021680065986083106
e_DNA,0.00253559831896338
ASPCT,0.020156840340603697
PGM,-18.003358644525697
RNTR2,0.0015316040763857996
T_PEP_Mannose,0.0
ASPR,0.01949832008784044
FABM2,0.014795775059807038
YUMPS,0.0
r0051,0.023373447291861874
METAT,0.007316378234231835
HOCHL3,0.026972589935670126
GARFT,0.0
BPNT,0.0
EX_ocdca_e,0.0
EX_asn__L_e,0.0
ABFPT,0.0
RNTR3,0.0014987985053350513
CFAS180,0.005615914621240627
ACKr,0.08103267599232745
RBK,0.005615914621240627
LEUTA,0.0
ASPTA,0.0
OHPBAT,0.0
PGMT_B,0.0
T_sym__S__Lactate,-18.01024750675016
AICART,0.0
NTD1pp,0.0
NTD4pp,0.0
NDPK4n,0.0025859915606339535
T_sym_L_Tyrosine,0.014147610885766918
PYK3,0.012781070739467547
EX_h2o_e,-2.7002367924856934
ACYP,0.0
r0120,0.0
LPGS_Lh,0.0
R08163,0.0008639868648062503
IMPD,0.10368606381614504
RHCCE,0.0
HODHL8,0.01565976192461329
T_diff_4_Aminobenzoate,0.0
ASNS1,0.0
T_diff_Tetradecanoic_acid,0.0
T_diff_2_Hydroxybutanoic_acid,0.005615914621240627
T_abc_L_Glutamate,0.0
T_PEP_Salicin,0.0
T_sym_L_Tryptophan,0.0035350121750646287
R03024,0.0
URIDK2r,0.0
EX_for_e,0.0
PUNP3m,0.0
T_abc_beta_D_Fructose,0.0
R02984,0.0
3NUCLE4,0.0
T_sym_L_Phenylalanine,0.015510193294052692
HDER4,-0.026972589935670126
DPMVDx,0.008037435629274003
T_sym_L_Alanine,0.14153889202561315
FRDO5r,0.0
r0775,0.0
EX_salcn_e,0.0
CYSTL,0.0
EX_leu__L_e,-0.03329250017751322
G6PDA_1,0.0
T_sym_Lactose,4.6899999999999995
EX_asp__L_e,-0.07855498257236762
FABM1,0.002834956900145509
TO1000322,0.026639777437121686
OCDMAT8,0.0008639868648062503
HEX1,0.24989195173099463
T_sym_Orotate,0.0
NAMNPP,-0.0019298503503422104
GLUKA,4.440108048269005
CBLAT,0.0
DHORDfum,0.020156840340603697
XTSNH,0.0
T_sym_L_Histidine,0.007879872938520972
ALCD19,0.0012828438878891054
UDPG4E,-4.663878097193809
PMEVKx,0.008037435629274003
GLYCK,0.0
ILETRS_1,0.026639777437121686
EX_thm_e,0.0
EX_glu__L_e,0.0
PMDPHT,0.0
LCGH,4.6899999999999995
ACALD,0.020091844214547072
T_diff__9Z__Hexadecenoic_acid,0.0
PNTK,0.0008827337636691523
GLUR,0.01949832008784044
R08162,0.002834956900145509
HBUR1,-0.026972589935670126
PYDXO_1,0.0
DMATT,0.0007306759662976367
EX_phe__L_e,-0.015510193294052692
NDPK1,0.0
SERAT,0.0
MTHTHFSs,0.0
EX_ura_e,0.0
RHCYS,0.005615914621240627
PYNP1,0.0
UDCPDPS,0.0007306759662976367
AHCYSNS,0.005615914621240627
TMDK1,0.0
PHETRS_1,0.015510193294052692
RNTR4,0.0
INSH,0.0
ILETA,0.0
OMPDC,0.020156840340603697
GNNUC,0.0
BLACT,0.0
UMPK,0.03155232980214555
EX_malt_e,0.0
CTPS2,0.0
PGMT,4.597841718786179
PRPPS,0.058241208722275326
R05220,0.0
e_Cofactor,0.008807867844820162
HDDR5,-0.026972589935670126
GPDDA1pp,0.0
PTA2,0.0
TO1000107,0.03329250017751322
EX_gua_e,0.0
FTHFCL_1,0.0
T_diff_Glycolaldehyde,0.0
GLUNpp,0.0
NT5C,0.0
DHFS,0.0
PYK5,0.0
T_sym_Inosine,0.0
G3PACT,0.013499794762597661
PRAGSr,0.0
FUM,0.0
NP1,0.0
TZ4000001,0.0
T_diff_Octadecanoic_acid,0.0
T_sym_Hydroquinone,0.0
TRPTRS_1,0.0035350121750646287
FBA,8.995044241927776
